file,school,title,start,source_url,reason
imd-detail.json,IMD Business School,IMD Executive Coaching Certificate,2026-11-24,https://www.imd.org/leadership/iecc/executive-coaching-certificate/,no teaching days
imd-detail.json,IMD Business School,IMD Executive Coaching Certificate,2027-04-26,https://www.imd.org/leadership/iecc/executive-coaching-certificate/,no teaching days
kellogg-a.json,Kellogg School of Management,Chief Marketing Officer Program,2026-05-05,https://www.kellogg.northwestern.edu/executive-education/individual-programs/c-suite-programs/cmoprogram.aspx,start outside window; no price; currency unknown
kellogg-a.json,Kellogg School of Management,The Kellogg Leadership & Governance Conference,2027-05-18,https://www.kellogg.northwestern.edu/executive-education/individual-programs/c-suite-programs/cgconf.aspx,no price; currency unknown; no teaching days
kellogg-c.json,Kellogg School of Management,Senior Management Program in AI and Digital Transformation,2026-10-23,https://www.kellogg.northwestern.edu/executive-education/individual-programs/online-programs/cdo.aspx,no teaching days
kellogg-c.json,Kellogg School of Management,Chief Marketing Officer Program,2026-10-02,https://www.kellogg.northwestern.edu/executive-education/individual-programs/online-programs/cmo.aspx,no teaching days
kellogg-c.json,Kellogg School of Management,Professional Certificate in Digital Marketing,2026-10-07,https://www.kellogg.northwestern.edu/executive-education/individual-programs/online-programs/pcdigmark.aspx,no teaching days
kellogg-c.json,Kellogg School of Management,Professional Certificate in Digital Marketing,2026-11-12,https://www.kellogg.northwestern.edu/executive-education/individual-programs/online-programs/pcdigmark.aspx,no teaching days
kellogg-c.json,Kellogg School of Management,Professional Certificate in Product Management,2026-11-19,https://www.kellogg.northwestern.edu/executive-education/individual-programs/online-programs/pcpm.aspx,no teaching days
kellogg-c.json,Kellogg School of Management,Professional Certificate in Product Management,2027-02-11,https://www.kellogg.northwestern.edu/executive-education/individual-programs/online-programs/pcpm.aspx,no teaching days
michigan-a.json,Michigan Ross Executive Education,The Power of Persuasion: Strategies for Professional Impact,2027-03-01,https://michiganross.umich.edu/programs/executive-education/power-persuasion-strategies-professional-impact?event=14349,no teaching days
michigan-a.json,Michigan Ross Executive Education,Accounting and Financial Decision-Making,2027-03-15,https://michiganross.umich.edu/programs/executive-education/accounting-and-financial-decision-making?event=14172,no teaching days
michigan-a.json,Michigan Ross Executive Education,"Leading with Impact: Culture, Teams, and Organizational Performance",2027-01-25,https://michiganross.umich.edu/programs/executive-education/leading-impact-culture-teams-and-organizational-performance?event=14402,no teaching days
michigan-a.json,Michigan Ross Executive Education,"Leading with Impact: Culture, Teams, and Organizational Performance",2027-07-19,https://michiganross.umich.edu/programs/executive-education/leading-impact-culture-teams-and-organizational-performance?event=13983,no teaching days
michigan-a.json,Michigan Ross Executive Education,Practicing Positive Leadership,2026-09-28,https://michiganross.umich.edu/programs/executive-education/practicing-positive-leadership?event=12504,no teaching days
michigan-a.json,Michigan Ross Executive Education,Strategy and Competitive Advantage,2026-11-30,https://michiganross.umich.edu/programs/executive-education/strategy-and-competitive-advantage?event=13862,no teaching days
michigan-a.json,Michigan Ross Executive Education,Strategy and Competitive Advantage,2027-05-30,https://michiganross.umich.edu/programs/executive-education/strategy-and-competitive-advantage?event=13862,no teaching days
michigan-a.json,Michigan Ross Executive Education,Digital Transformation and Innovation,2027-08-23,https://michiganross.umich.edu/programs/executive-education/digital-transformation-and-innovation?event=14145,no teaching days
michigan-a.json,Michigan Ross Executive Education,Digital Transformation and Innovation,2027-03-01,https://michiganross.umich.edu/programs/executive-education/digital-transformation-and-innovation?event=14145,no teaching days
michigan-b.json,Michigan Ross Executive Education,Accounting and Financial Decision-Making,2027-03-15,https://michiganross.umich.edu/programs/executive-education/accounting-and-financial-decision-making?event=14143,no teaching days
michigan-b.json,Michigan Ross Executive Education,CXO Leadership Program,2026-12-12,https://michiganross.umich.edu/programs/executive-education/cxo-leadership-program?event=13816,no teaching days
